"FORMULARIO","Depto","Mun","Fraccion","Radio","Viv","NroHogar","PM","Zon","Tipo_viv","CantidadPersonas","PersonaMayorCuatro","Personas_temporales","CantidadCochera","Hogar_Vehículo","CantidadVehículos","Tipo_vehículo_1","Propiedad_vehículo_1","MarcaVehículo_1","Combustible_1","Gasto_combustible_1","GastoCochera_1","GastoPatente_1","GastoSeguro_1","GastosTotal_1","MarcaVehículo_2","MarcaVehículo_3","HogarMoto","CantidadMotos","HogarCiclomotor","CantidadCiclomotores","HogarBicicleta","CantidadBicicletas","Plan_social","HogarIngresos","RangoIngresos","promedio_ingreso","IngresoT1","IngresoT2","HogarGastoTotal","RangoGastoTotal","promedio_gastototal","GastoT1","GastoT2","HogarGastosAlimentos","RangoGastosAlimentos","promedio_gasto_alimentos","GastoA1","HogarGastosTransporte","RangoGastosTransporte","Ingresoagregado_pers","IngresoTotalFinal","bienestar","FEX"
1,28,30,20,6,20,1,116,19,"Casa",5,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"500","500","Indigente",68.3252474959917
2,28,30,20,6,135,1,116,19,"Casa",1,1,2,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","740","97","97","740","740","700","97","97","700","700","600","97","97","600","30","97","740","740","Pobre",68.3252474959917
4,28,30,19,21,66,1,113,6,"Casilla / Rancho aislado",4,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","97","720","720","Pobre",53.2079600765414
5,28,30,19,21,119,1,113,6,"Casa",4,2,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"Sí","2","No","2000","97","97","2000","2000","2000","97","97","2000","2000","1500","97","97","1500","100","97","1000","2000","No Pobre",53.2079600765414
7,28,10,18,9,12,1,138,25,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2600","2600","No Pobre",52.5230442809888
8,28,10,18,9,39,1,138,25,"Casa",5,5,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","ford        ","Nafta / Alconafta","150","98","50","80","130","NULL        ","NULL        ","Sí","1","No",NA,"Sí","1","No","2000","97","97","2000","2000","2000","97","97","2000","2000","1500","97","97","1500","200","97","1800","2000","No Pobre",52.5230442809888
9,28,10,18,9,66,1,138,25,"Casa",6,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500","2500","97","97","2500","2500","1000","97","97","1000","200","97","2600","2600","No Pobre",52.5230442809888
10,28,30,20,15,63,1,145,20,"Casa",6,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1410","97","97","1410","1410",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","97","1410","1410","No Pobre",73.5383009121882
12,28,30,20,15,29,1,145,20,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","300","Indigente",73.5383009121882
13,28,30,19,3,16,1,106,7,"Casa",2,2,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","wolsvagen   ","Nafta / Alconafta","300","98","25","175","200","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3500","97","97","3500","3500","2000","97","97","2000","2000","1000","97","97","1000","100","97","4400","4400","No Pobre",41.8207524687622
14,28,30,19,3,69,1,106,7,"Dpto. tipo casa (PH) o de pasillo",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1400","97","97","1400","1400","1000","97","97","1000","1000","400","97","97","400","20","97","3200","3200","No Pobre",41.8207524687622
15,28,30,19,3,176,1,106,7,"Departamento",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","800","97","97","800","800","800","97","97","800","800","500","97","97","500","15","97","800","800","Pobre",41.8207524687622
16,28,30,2,12,140,1,127,1,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1000","97","97","1000","1000","900","97","97","900","900","500","97","97","500","300","97","1300","1300","Pobre",49.5541350443311
17,28,30,2,12,22,1,127,1,"Casa",1,1,0,2,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Nafta / Alconafta","300","98","160","89","249","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3500","97","97","3500","3500","600","97","97","600","600","300","97","97","300","200","97","3500","3500","No Pobre",49.5541350443311
18,28,30,2,12,86,1,127,1,"Casa",1,1,1,1,"Si","2","Auto","Propio de algún miembro del hogar para uso particular","NULL        ","Nafta / Alconafta","350","98","450","200","650","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","6000","97","97","6000","6000","6000","97","97","6000","6000","4500","97","97","4500",NA,NA,"4000","6000","No Pobre",49.5541350443311
19,28,30,12,8,52,1,146,16,"Casa",3,3,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Nafta / Alconafta","200","98","4","70","74","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","2500","97","97","2500","2500","2000","97","97","2000","2000","1000","97","97","1000","30","97","2500","2500","No Pobre",52.4860261227411
20,28,30,5,5,165,1,132,3,"Casa",4,4,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","paugeot     ","Gasoil / Diesel","500","98","196","210","406","NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","6000","97","97","6000","6000","4000","97","97","4000","4000","3000","97","97","3000",NA,NA,NA,"6000","No Pobre",45.2960443436634
21,28,10,13,8,132,1,136,25,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3140","97","97","3140","3140","2500","97","97","2500","2500","1500","97","97","1500","300","97","1940","3140","No Pobre",44.5752501398702
23,28,30,5,5,15,1,132,3,"Casa",6,5,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","fiat        ","Gasoil / Diesel","345","98","35","98","35","NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","Sí","3500","97","97","3500","3500","3500","97","97","3500","3500","2000","97","97","2000","22","97","4080","4080","No Pobre",45.2960443436634
24,28,30,5,5,182,1,132,3,"Casa",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","4","Sí","2800","97","97","2800","2800","400","97","97","400","400","300","97","97","300","14","97","3200","3200","No Pobre",45.2960443436634
25,28,30,20,5,253,1,112,19,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1045","97","97","1045","1045","750","97","97","750","750","400","97","97","400","120","97",NA,"1045","Pobre",58.953000729505
26,28,30,20,5,137,1,112,19,"Casa",7,7,0,1,"Si","1","Camioneta","Propio de algún miembro del hogar para uso particular","wolsvagen   ","Nafta / Alconafta","400","98","35","100","135","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",58.953000729505
27,28,30,20,5,322,1,112,19,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","5000","97","97","5000","5000","3000","97","97","3000","3000","1500","97","97","1500","150","97","6200","6200","No Pobre",58.953000729505
30,28,30,20,1,133,1,245,11,"Casa",5,5,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","wolsvagen   ","Nafta / Alconafta","400","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3000","97","97","3000","3000","2000","97","97","2000","2000","1500","97","97","1500","500","97","3000","3000","No Pobre",36.2909367034301
32,28,10,13,8,222,1,136,25,"Casa",5,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","1015","97","97","1015","1015","1000","97","97","1000","1000","300","97","97","300","80","97",NA,"1015","Pobre",44.5752501398702
33,28,10,13,8,129,1,136,25,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","2500","97","97","2500","2500","1800","97","97","1800","1800","1200","97","97","1200","210","97","2500","2500","No Pobre",44.5752501398702
35,28,30,19,26,3,1,124,6,"Casa",1,0,1,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","710","97","97","710","710",NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","97","710","710","Pobre",70.7750435445787
36,28,30,19,26,53,1,124,6,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","2500","97","97","2500","2500",NA,NA,NA,NA,"1200","600","97","97","600","100","97","2700","2700","No Pobre",70.7750435445787
42,28,30,19,2,156,1,152,7,"Casa",4,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","3000","97","97","3000","3000","3000","97","97","3000","3000","2000","97","97","2000",NA,NA,"3000","3000","No Pobre",52.4990786029747
43,28,30,9,11,83,1,111,2,"Casa",6,6,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","ford        ","Nafta / Alconafta","200","98","80","80","160","NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","1800","97","97","1800","1800","800","97","97","800","800","1500","97","97","1500",NA,NA,"900","1800","No Pobre",53.9107116884895
45,28,30,9,11,148,1,111,2,"Departamento",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","4000","97","97","4000","4000","3000","97","97","3000","3000","1000","97","97","1000","200","97","4000","4000","No Pobre",53.9107116884895
50,28,30,8,7,347,1,110,22,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500","2000","97","97","2000","2000","800","97","97","800","340","97","3400","3400","No Pobre",61.1195286195286
53,28,30,13,8,186,1,136,25,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","780","97","97","780","780","780","97","97","780","780","500","97","97","500","120","97","1300","1300","Pobre",44.5752501398702
55,28,30,23,1,165,1,119,5,"Casa",7,7,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,"$871 a $1740","1305","1305","1305",NA,"$871 a $1740","1305","1305","1305","400","97","97","400","50","97",NA,"1305","Pobre",59.36841490821
56,28,30,23,1,8,1,119,5,"Casa",4,4,1,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","2","No",NA,"Sí","3","Sí","1500","97","97","1500","1500","600","97","97","600","600",NA,NA,NA,NA,"50","97","2800","2800","No Pobre",59.36841490821
57,28,30,23,1,400,1,119,5,"Casa",3,3,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Nafta / Alconafta","300","98","98","15","450","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No",NA,"Menor o igual a $870","435","435","435","500","97","97","500","500","500","97","97","500",NA,NA,"435","435","Indigente",59.36841490821
58,28,30,23,1,269,1,119,5,"Casa",4,4,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","FIAT 147    ","Nafta / Alconafta","200","98","98","70","270","NULL        ","NULL        ","Sí","1","No",NA,"Sí","1","No","3000","97","97","3000","3000","600","97","97","600","600","1000","97","97","1000","70","97","1500","3000","No Pobre",59.36841490821
59,28,30,23,1,33,1,119,5,"Casa",3,3,0,1,"Si","1","Camión liviano","Propio de algún miembro del hogar para uso particular","peugeot     ","Gasoil / Diesel","100","98","30","120","250","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","4000","97","97","4000","4000","800","97","97","800","800","700","97","97","700","100","97","4000","4000","No Pobre",59.36841490821
61,28,30,23,1,322,1,119,5,"Casa",5,5,0,1,"Si","1","Camioneta","Propio de algún miembro del hogar para uso particular","ford        ","Gasoil / Diesel","1200","98","170","100","270","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","4000","97","97","4000","4000","2000","97","97","2000","2000","1500","97","97","1500",NA,NA,"2300","4000","No Pobre",59.36841490821
62,28,30,23,1,191,1,119,5,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","1000","97","97","1000","1000","500","97","97","500","500","500","97","97","500","200","97","1100","1100","Pobre",59.36841490821
63,28,30,19,27,4,1,108,6,"Casa",2,2,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No",NA,"$871 a $1740","1305","1305","1305","1100","97","97","1100","1100","550","97","97","550","180","97","1100","1305","Pobre",22.1135327635328
64,28,30,19,27,13,1,108,6,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No",NA,NA,NA,NA,"1600",NA,NA,NA,NA,"1600","800","97","97","800","67","97","880","1600","No Pobre",22.1135327635328
65,28,30,19,27,95,1,108,6,"Casa",3,3,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Nafta + GNC","700","98","98","70","98","NULL        ","NULL        ","Sí","1","No",NA,"Sí","1","No","5000","97","97","5000","5000","5000","97","97","5000","5000","300","97","97","300","100","97","5000","5000","No Pobre",22.1135327635328
67,28,30,19,27,86,1,108,6,"Casa",1,1,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","chevrolet   ","Nafta + GNC","100","98","50","30","80","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",22.1135327635328
68,28,30,19,27,131,1,108,6,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200","97","400","400","Indigente",22.1135327635328
69,28,30,19,27,140,1,108,6,"Casa",6,6,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"Sí","3","Sí","1970","97","97","1970","1970","1500","97","97","1500","1500","600","97","97","600",NA,NA,"1970","1970","No Pobre",22.1135327635328
71,28,30,7,14,182,1,137,11,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","1300","97","97","1300","1300","800","97","97","800","800","600","97","97","600","150","97","435","1300","Pobre",66.6088420436246
72,28,30,7,14,21,1,137,11,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","3500","97","97","3500","3500",NA,"$871 a $1740","1305","1305","1305",NA,NA,NA,NA,"100","97",NA,"3500","No Pobre",66.6088420436246
73,28,30,7,14,44,1,137,11,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","2","No",NA,"No",NA,"No","3500","97","97","3500","3500","2500","97","97","2500","2500","600","97","97","600","300","97","400","3500","No Pobre",66.6088420436246
75,28,30,7,14,296,1,137,11,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1300","97","97","1300","1300","1000","97","97","1000","1000","500","97","97","500","300","97","600","1300","Pobre",66.6088420436246
76,28,30,7,14,136,1,137,11,"Casa",7,6,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500","1000","97","97","1000","1000","500","97","97","500","50","97","1740","2500","No Pobre",66.6088420436246
78,28,30,7,14,90,1,137,11,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","2000","97","97","2000","2000","2000","97","97","2000","2000","800","97","97","800","80","97",NA,"2000","No Pobre",66.6088420436246
79,28,30,7,3,87,1,140,12,"Casa",4,4,0,0,"Si","2","Auto","Propio de algún miembro del hogar para uso particular","Fiat 147    ","Nafta / Alconafta","400","98","90","180","98","Clio        ","NULL        ","No",NA,"No",NA,"Sí","1","No","6800","97","97","6800","6800","6800","97","97","6800","6800","3000","97","97","3000",NA,NA,"7700","7700","No Pobre",51.0915462701878
80,28,30,7,3,177,1,140,12,"Casa",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1900","97","97","1900","1900","2000","97","97","2000","2000","1500","97","97","1500","60","97","1900","1900","No Pobre",51.0915462701878
81,28,30,7,3,19,1,140,12,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","2","No",NA,"No",NA,"No","2500","97","97","2500","2500","3000","97","97","3000","3000","600","97","97","600","40","97","2500","2500","No Pobre",51.0915462701878
82,28,30,7,3,154,1,140,12,"Casa",2,2,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","NULL        ","Nafta / Alconafta","100","98","60","60","120","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3000","97","97","3000","3000","1500","97","97","1500","1500","1500","97","97","1500","20","97","3000","3000","No Pobre",51.0915462701878
83,28,30,7,3,42,1,140,12,"Casa",1,1,0,0,"Si","1","Camioneta","Propio de algún miembro del hogar para uso particular","rastrogero  ","Gasoil / Diesel","463","98","98","98","98","NULL        ","NULL        ","Sí","1","No",NA,"Sí","1","No","2000","97","97","2000","2000","2000","97","97","2000","2000","700","97","97","700","25","97","2500","2500","No Pobre",51.0915462701878
84,28,30,7,3,312,1,140,12,"Casa",1,1,1,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","800","97","97","800","800","1300","97","97","1300","1300","1000","97","97","1000","35","97","800","800","Pobre",51.0915462701878
85,28,30,7,3,245,1,140,12,"Casa",3,3,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","NULL        ","Nafta / Alconafta","300","98","86","70","156","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3500","97","97","3500","3500","3500","97","97","3500","3500","1999","97","97","1999","50","97","3500","3500","No Pobre",51.0915462701878
86,28,30,7,3,200,1,140,12,"Casa",4,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","2500","97","97","2500","2500","2500","97","97","2500","2500","1800","97","97","1800","50","97","3500","3500","No Pobre",51.0915462701878
88,28,10,13,3,109,1,135,26,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1200","97","97","1200","1200","1000","97","97","1000","1000","400","97","97","400","80","97","1200","1200","Pobre",24.9075710811822
89,28,10,13,3,9,1,135,26,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","4000","97","97","4000","4000","3500","97","97","3500","3500","1000","97","97","1000","500","97","4300","4300","No Pobre",24.9075710811822
90,28,10,13,3,183,1,135,26,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","830","97","97","830","830","600","97","97","600","600","600","97","97","600","60","97","830","830","Pobre",24.9075710811822
91,28,10,13,3,71,1,135,26,"Casa",7,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"Sí","1","No","1880","97","97","1880","1880","1880","97","97","1880","1880","1800","97","97","1800","4","97","1900","1900","No Pobre",24.9075710811822
93,28,10,13,3,84,1,135,26,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"500","500","Indigente",24.9075710811822
95,28,30,9,11,96,1,111,2,"Casa",6,6,0,3,"Si","3","Auto","Propio de algún miembro del hogar para uso particular","wolsvagen   ","Nafta / Alconafta","150","98","520","250","770","peugeot     ","bmw         ","No",NA,"No",NA,"No",NA,"No","24000","97","97","24000","24000","5000","97","97","5000","5000","2000","97","97","2000",NA,NA,"28300","28300","No Pobre",53.9107116884895
97,28,30,9,11,58,1,111,2,"Departamento",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","6000","97","97","6000","6000","5000","97","97","5000","5000","2000","97","97","2000","300","97","8265","8265","No Pobre",53.9107116884895
98,28,30,9,11,122,1,111,2,"Casa",2,2,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","fiat        ","Nafta / Alconafta","300","98","20","100","120","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,"$871 a $1740","1305","1305","1305","1000","97","97","1000","1000","600","97","97","600","60","97",NA,"1305","Pobre",53.9107116884895
99,28,30,9,11,161,1,111,2,"Casa",1,1,0,1,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,"Menor o igual a $870","435","435","435","300","97","97","300","300","200","97","97","200","100","97","435","435","Indigente",53.9107116884895
100,28,30,9,11,32,1,111,2,"Departamento",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,"$1741 a $2610","2175","2175","2175","1200","97","97","1200","1200","600","97","97","600",NA,NA,NA,"2175","No Pobre",53.9107116884895
102,28,30,1,18,6,1,313,10,"Casa",3,3,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","volkswgen   ","Nafta / Alconafta","345","98","98","98","98","NULL        ","NULL        ","Sí","1","No",NA,"Sí","4","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",42.858427081728
103,28,30,1,18,55,1,313,10,"Casa",2,2,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","vw gol      ","Nafta + GNC","300","98","98","130","130","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,"2500","2500","97","97","2500","2500","1500","97","97","1500","300","97",NA,"2500","No Pobre",42.858427081728
106,28,30,4,7,288,1,243,5,"Casa",5,5,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","kangoo      ","Nafta / Alconafta","345","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","9000","97","97","9000","9000","4000","97","97","4000","4000","2000","97","97","2000","200","97","9140","9140","No Pobre",53.5677331857783
110,28,30,1,18,115,1,313,10,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","3500","97","97","3500","3500","3000","97","97","3000","3000","1500","97","97","1500","50","97","800","3500","No Pobre",42.858427081728
113,28,10,13,8,42,1,136,25,"Casa",5,5,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Nafta / Alconafta","100","98","8","124","132","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1750","97","97","1750","1750","1500","97","97","1500","1500","1200","97","97","1200","50","97","2000","2000","No Pobre",44.5752501398702
114,28,10,13,8,158,1,136,25,"Casilla / Rancho en villa de emergencia",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","150","97","97","150","150","150","97","97","150","150","100","97","97","100","32","97","150","150","Indigente",44.5752501398702
115,28,10,13,8,24,1,136,25,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","2","No",NA,"Sí","1","No","1300","97","97","1300","1300","800","97","97","800","800","400","97","97","400","50","97","1500","1500","No Pobre",44.5752501398702
116,28,10,13,8,6,1,136,25,"Casilla / Rancho en villa de emergencia",5,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","500","97","97","500","500","500","97","97","500","500","350","97","97","350","100","97","500","500","Indigente",44.5752501398702
118,28,30,13,8,204,1,136,25,"Casa",7,7,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","2500","97","97","2500","2500","2000","97","97","2000","2000","400","97","97","400","500","97","2400","2500","No Pobre",44.5752501398702
119,28,30,19,2,18,1,152,7,"Casa",4,4,0,1,"Si","1","4x4","Propio de algún miembro del hogar para uso particular","chevrolet   ","Nafta / Alconafta","400","98","50","278","778","NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","7000","97","97","7000","7000","5000","97","97","5000","5000","3000","97","97","3000","210","97","5000","7000","No Pobre",52.4990786029747
