"FORMULARIO","Depto","Mun","Fraccion","Radio","Viv","NroHogar","PM","Zon","Tipo_viv","CantidadPersonas","PersonaMayorCuatro","Personas_temporales","CantidadCochera","Hogar_Vehículo","CantidadVehículos","Tipo_vehículo_1","Propiedad_vehículo_1","MarcaVehículo_1","Combustible_1","Gasto_combustible_1","GastoCochera_1","GastoPatente_1","GastoSeguro_1","GastosTotal_1","MarcaVehículo_2","MarcaVehículo_3","HogarMoto","CantidadMotos","HogarCiclomotor","CantidadCiclomotores","HogarBicicleta","CantidadBicicletas","Plan_social","HogarIngresos","RangoIngresos","promedio_ingreso","IngresoT1","IngresoT2","HogarGastoTotal","RangoGastoTotal","promedio_gastototal","GastoT1","GastoT2","HogarGastosAlimentos","RangoGastosAlimentos","promedio_gasto_alimentos","GastoA1","HogarGastosTransporte","RangoGastosTransporte","Ingresoagregado_pers","IngresoTotalFinal","bienestar","FEX"
791,28,30,6,16,208,1,133,21,"Casilla / Rancho en villa de emergencia",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1500","97","97","1500","1500","1500","97","97","1500","1500","900","97","97","900","100","97","1500","1500","No Pobre",57.9652471109758
792,28,10,13,11,241,1,120,25,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","700","97","97","700","700","700","97","97","700","700","250","97","97","250","80","97","700","700","Pobre",49.5902718332097
793,28,10,13,11,215,1,120,25,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2000","97","97","2000","2000","1800","97","97","1800","1800","800","97","97","800","300","97","2000","2000","No Pobre",49.5902718332097
794,28,10,13,11,36,1,120,25,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","4450","97","97","4450","4450","3450","97","97","3450","3450","1200","97","97","1200","60","97","4350","4450","No Pobre",49.5902718332097
795,28,10,13,11,343,1,120,25,"Casa",5,5,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","wolsvagen   ","Nafta / Alconafta","200","98","50","100","150","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","4000","97","97","4000","4000","4000","97","97","4000","4000","1500","97","97","1500","450","97","3200","4000","No Pobre",49.5902718332097
796,28,10,13,11,10,1,120,25,"Casa",5,5,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Nafta / Alconafta","300","98","27","90","117","NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","8000","97","97","8000","8000","6000","97","97","6000","6000","3000","97","97","3000","650","97","10200","10200","No Pobre",49.5902718332097
799,28,10,13,11,138,1,120,25,"Casa",4,3,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","renault     ","Gasoil / Diesel","240","98","30","190","220","NULL        ","NULL        ","Sí","1","No",NA,"Sí","2","No","5000","97","97","5000","5000","5000","97","97","5000","5000","2000","97","97","2000","350","97","5000","5000","No Pobre",49.5902718332097
800,28,10,13,11,471,1,120,25,"Casa",3,3,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","wolsvagen   ","Gasoil / Diesel","345","98","98","90","90","NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"700","700","Pobre",49.5902718332097
801,28,10,13,11,420,1,120,25,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","2000","97","97","2000","2000","3000","97","97","3000","3000","2000","97","97","2000",NA,NA,"2000","2000","No Pobre",49.5902718332097
802,28,30,12,10,580,1,115,18,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","600","97","97","600","600","500","97","97","500","500","500","97","97","500","20","97","488","600","Pobre",62.5010861301184
803,28,30,12,10,662,1,115,18,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","910","97","97","910","910","910","97","97","910","910","700","97","97","700","70","97","910","910","Pobre",62.5010861301184
804,28,30,12,10,621,1,115,18,"Casa",5,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","3050","97","97","3050","3050","1000","97","97","1000","1000","600","97","97","600","100","97","1120","3050","No Pobre",62.5010861301184
805,28,30,12,10,336,1,115,18,"Casa",7,6,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","2500","97","97","2500","2500","2000","97","97","2000","2000","1200","97","97","1200","150","97","1300","2500","No Pobre",62.5010861301184
806,28,30,12,10,540,1,115,18,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","800","97","97","800","800","1100","97","97","1100","1100","900","97","97","900","50","97","1800","1800","No Pobre",62.5010861301184
807,28,30,1,5,4,1,144,8,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","2800","97","97","2800","2800","1400","97","97","1400","1400","1000","97","97","1000","200","97","3100","3100","No Pobre",7.19307970101621
809,28,30,12,10,703,1,115,18,"Casilla / Rancho aislado",6,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1800","97","97","1800","1800","1800","97","97","1800","1800","1000","97","97","1000","50","97","1800","1800","No Pobre",62.5010861301184
810,28,30,12,10,743,1,115,18,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","700","97","97","700","700","600","97","97","600","600","600","97","97","600","70","97","770","770","Pobre",62.5010861301184
816,28,10,18,1,275,1,150,25,"Casa",7,6,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","Sí","1000","97","97","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","97","1000","1000","Pobre",159.598703703704
817,28,10,18,1,38,1,150,25,"Casa",1,1,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","citroen     ","Nafta / Alconafta","150","98","98","30","30","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2000","97","97","2000","2000","1000","97","97","1000","1000","700","97","97","700","300","97","2000","2000","No Pobre",159.598703703704
818,28,10,18,1,106,1,150,25,"Casa",5,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","3000","97","97","3000","3000","400","97","97","400","400","200","97","97","200","50","97","2815","3000","No Pobre",159.598703703704
819,28,10,18,1,479,1,150,25,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,"$1741 a $2610","2175","2175","2175",NA,"$1741 a $2610","2175","2175","2175","1400","97","97","1400",NA,NA,"1900","2175","No Pobre",159.598703703704
820,28,10,18,1,309,1,150,25,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1200","97","97","1200","1200","1200","97","97","1200","1200","400","97","97","400","200","97","600","1200","Pobre",159.598703703704
821,28,10,18,1,512,1,150,25,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2000","97","97","2000","2000","1200","97","97","1200","1200","1000","97","97","1000","120","97","1000","2000","No Pobre",159.598703703704
822,28,30,7,18,135,1,229,13,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,"Menor o igual a $870","435","435","435",NA,"Menor o igual a $870","435","435","435",NA,"Menor o igual a $350","175","175",NA,NA,"435","435","Indigente",49.3008636535422
823,28,10,18,1,173,1,150,25,"Casa",6,6,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","Sí","4000","97","97","4000","4000","2000","97","97","2000","2000","1500","97","97","1500","200","97","3800","4000","No Pobre",159.598703703704
824,28,10,18,1,546,1,150,25,"Casa",5,5,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,"$871 a $1740","1305","1305","1305",NA,"$871 a $1740","1305","1305","1305",NA,"$1051 a $1400","1225","1225",NA,NA,"1500","1500","No Pobre",159.598703703704
826,21,20,5,14,91,1,317,27,"Casa",5,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","1200","97","97","1200","1200","800","97","97","800","800","700","97","97","700","300","97","1200","1200","Pobre",53.2609126984127
827,21,20,5,14,208,1,317,27,"Casa",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","1","No","1500","97","97","1500","1500","1000","97","97","1000","1000","800","97","97","800","250","97","1500","1500","No Pobre",53.2609126984127
830,28,10,18,1,140,1,150,25,"Casa",4,4,2,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2000","97","97","2000","2000","2000","97","97","2000","2000","1000","97","97","1000","100","97","600","2000","No Pobre",159.598703703704
831,28,30,7,18,9,1,229,13,"Departamento",3,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500","2500","97","97","2500","2500","700","97","97","700","250","97","2500","2500","No Pobre",49.3008636535422
832,21,20,5,1,30,1,316,27,"Casa",3,3,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","fiat        ","Nafta / Alconafta","345","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No","3000","97","97","3000","3000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"250","97","3000","3000","No Pobre",31.9593609430743
833,28,30,6,11,187,1,241,21,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","1200","97","97","1200","1200","1200","97","97","1200","1200","1000","97","97","1000","60","97","1200","1200","Pobre",72.2999683006421
834,21,20,5,14,52,1,317,27,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","300","97","97","300","300","200","97","97","200","200","150","97","97","150","60","97","300","300","Indigente",53.2609126984127
835,28,30,1,18,128,1,313,10,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100","97",NA,NA,"0",42.858427081728
836,28,30,1,18,79,1,313,10,"Departamento",1,1,0,1,"Si","2","Auto","Propio de algún miembro del hogar para uso particular","VW          ","Nafta / Alconafta","300","200","98","180","380","VW          ","NULL        ","Sí","1","No",NA,"Sí","1","No","6000","97","97","6000","6000","1900","97","97","1900","1900","500","97","97","500","1000","97","6000","6000","No Pobre",42.858427081728
837,28,30,1,18,30,1,313,10,"Departamento",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"Sí","3000","97","97","3000","3000","2500","97","97","2500","2500","600","97","97","600","260","97","3000","3000","No Pobre",42.858427081728
838,28,30,1,18,67,1,313,10,"Casa",2,2,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","Sí","1","No",NA,"No",NA,"No","3000","97","97","3000","3000","1500","97","97","1500","1500","400","97","97","400","50","97","3000","3000","No Pobre",42.858427081728
839,28,30,1,18,175,1,313,10,"Casa",2,2,0,0,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","wosvagen    ","Nafta / Alconafta","500","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","3000","97","97","3000","3000","1500","97","97","1500","1500","1000","97","97","1000","500","97","1500","3000","No Pobre",42.858427081728
840,28,30,1,18,212,1,313,10,"Casa",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","1000","97","97","1000","1000","400","97","97","400","400","600","97","97","600",NA,NA,"1000","1000","Pobre",42.858427081728
841,28,30,1,18,139,1,313,10,"Casa",3,3,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",42.858427081728
842,28,30,1,18,42,1,313,10,"Departamento",1,1,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No","2500","97","97","2500","2500","1750","97","97","1750","1750","700","97","97","700","250","97","2500","2500","No Pobre",42.858427081728
843,28,30,22,9,406,1,218,9,"Casa",5,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,"2000","2000","97","97","2000","2000","1200","97","97","1200","300","97","900","2000","No Pobre",49.2298030511831
844,28,30,1,18,188,1,313,10,"Casa",2,2,0,1,"Si","1","Auto","Propio de algún miembro del hogar para uso particular","peugeot     ","Nafta / Alconafta","345","98","98","98","98","NULL        ","NULL        ","No",NA,"No",NA,"No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",42.858427081728
845,28,30,1,18,224,1,313,10,"Departamento",4,4,0,0,"No",NA,NA,NA,"NULL        ",NA,NA,NA,NA,NA,NA,"NULL        ","NULL        ","No",NA,"No",NA,"Sí","2","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","97",NA,NA,"0",42.858427081728
